,company,country,description,location,review,salary,star,title
2,BASF Asia Pacific,Hong Kong,"As a data scientist with strong background in analytics-relevant information technology, the incumbent will:. 3 to 5 years working experience with databases and...",Hong Kong,2,,54.0,"Data Scientist in Big Data Technologies, Advanced Business Analytics"
3,Reinsurance Group of America,Hong Kong,Apply analytical methods and algorithms to build data products that streamline the process from data collection to insight generation....,Hong Kong,14,,53.4,Data Scientist Intern – RGAx
4,The Hong Kong Jockey Club,Hong Kong,"Undertake pre-processing of structure and unstructured data. In Epidemiology, Biostatistics, Computer Science, Data Science or relevant....","Happy Valley, Hong Kong Island",7,,42.6,Data Scientist
5,Standard Chartered Bank,Hong Kong,We are looking for a Data Scientist that will responsible to design and discover the information hidden in vast amounts of data in SCB enterprise data...,Hong Kong,1798,,51.6,"Director, Big Data Scientist"
6,AIA,Hong Kong,Strong knowledge on batch and streaming data processing with structured and unstructured data. Expertise in big data technology and application....,Hong Kong,2,,60.0,Data Scientist
7,GoBee Bike (Mysharedbike Limited),Hong Kong,3 to 5 years of quantitative data analytics. You will have to wrangle the data together and tradeoff different statistical insights to see the amount of...,"Wan Chai, Hong Kong Island",,,,Data Scientist
8,DigitasLBi,Hong Kong,"Reporting to Head of Data & Analytics, APAC. Providing best in class Data & Analytics capabilities and b. Lead the integration of disparate, user-level data...",Hong Kong,126,,43.8,Data & Analytics Lead
9,AS Watson Careers,Hong Kong,We are looking for an Assistant Data Scientist in our Group Strategic Projects (Big Data Team) that will help us discover the information hidden in vast amounts...,"Fo Tan, New Territories",,,,Assistant Data Scientist / Data Science Intern
0,Swiss Re,Hong Kong,We are seeking for a motivated Data Scientist who has a passion for technology to join our highly skilled global team....,Hong Kong,67,,51.0,Data Scientist
1,Pulse iD,Hong Kong,"Experience building data based products. Experience analyzing sensor and smartphone data. Experience with data visualisation tools, such as Matplotlib, Bokeh,...",Hong Kong,,,,Data Scientist - Hong Kong
2,WHub,Hong Kong,"You love problem solving, visualizing data and clean data. Design, build and launch new data models and ETL pipelines that will make PLAYSTUDIOS more data...",Hong Kong,,,,Others - Data Engineer
3,NLS,Hong Kong,"As a Data Scientist, you are humble, data driven and love to work with and extract actionable insights from massive amounts of semi-structured, streaming data....",Hong Kong,18,,43.2,Data Scientist
4,Bank of China (Hong Kong),Hong Kong,"5+ years' experience relating to data analytics, with at least 3 years in data mining, statistical modeling, predictive analytics, machine learning or data...",Hong Kong,,,,Senior Data Manager (Data Scientist)
7,Spencer Ogden,Hong Kong,A very exciting opportunity has arisen for a Data Scientist to join one of the world's largest insurance companies....,Hong Kong,19,,39.6,Data Scientist
9,KPMG,Hong Kong,"6+ years experience relating to Data & Analytics, with at least 3 years in statistical modelling, data mining or data science related work....",Hong Kong,3631,,51.0,"Manager, Data Scientist, Data & Analytics"
1,Gilead Sciences,Hong Kong,Support identification of data gaps. Must be fully cognizant of all relevant scientific data. The medical scientist is a Medical Affairs position whose mission...,Hong Kong,169,,43.2,Medical Scientist
2,Michael Page,Hong Kong,"They are currently investing heavily into Big Data and have formed a new team of Data Scientist. As a Data Scientist, you will be deploying Machine Learning to...",Hong Kong,157,,42.0,Data Scientist - Machine Learning
3,ConnectedGroup,Hong Kong,They are seeking an experience Data Scientist with machine learning skills to provide quantitative analysis on a variety of financial services engagements....,Hong Kong,,,,Data Scientist (1.4 mil + )
4,Hillman Ross,Hong Kong,"We are now seeking for a DATA SCIENTIST. They are looking for a Data Scientist to use different statistical, algorithmic and data mining techniques, to model...",Hong Kong,,,,Data Scientist
5,Cogs Agency,Hong Kong,Personal data will be collected solely for recruitment purpose. You are hands-on in applying complex data models and building predictive algorithms....,Hong Kong,4,,60.0,Data Scientist
6,Libbler,Hong Kong,Global commodities trading and shipping company is seeking a Chief Data Scientist to join their team in Hong Kong....,Hong Kong,,,,Chief Data Scientist
7,Argyll Scott,Hong Kong,"Data Warehousing / ETL. I specialize in recruiting for only big data & business intelligence professionals across various industries - Commercial, Luxury,...",Hong Kong,,,,"Business Intelligence, Data Warehouse, Big Data"
8,ClusterTech Limited,Hong Kong,"Utilize user characteristics and behavior data, financial data to do data mining and model building analysis; Knowledge of data structure and algorithm;...",Hong Kong,,,,Data Scientist / Computational Scientist
9,The Chinese University of Hong Kong 香港中文大學,Hong Kong,"Duties include research assistance, database development and data analysis in research projects. And preferably (iv) with relevant experiences in clinical...",Hong Kong,,,,Research Assistant(s)
1,Michael Page,Hong Kong,"IT Data Analysis Industry:. Assist with data collection and preparation. Our client is a sizeable Chinese conglomerate, to cope with their business's needs and...","Central and Western, Hong Kong Island",157,,42.0,Data Engineer/ Scientist - Chinese Conglomerate
2,Amgen,Hong Kong,Effectively communicating and presenting scientific and/or clinical data to research or healthcare professionals....,Hong Kong,739,,51.6,Medical Advisor (General Medicine)
3,Grey Anderson,Hong Kong,Build a reliable and scaleable data pipeline for big data processing. Collaborate with data scientists and data analyst to turn information into insights....,Hong Kong,,,,DATA ENGINEER
4,Michael Page,Hong Kong,"Support senior management within the corporate banking department by performing technical data analysis, data mining and designing technical solutions....",Hong Kong,157,,42.0,Data Scientist - Financial Services (Up to 70k)
5,Sanwa BioTech Limited,Hong Kong,Perform routine laboratory tests and data analysis. Personal data collected will be used for recruitment purpose only....,Hong Kong,,,,Assistant Scientist
7,JP Morgan Chase,Hong Kong,"We are a small, focused team of passionate engineers, designers, data scientists, and business people set on creating and building products that transform the...",Hong Kong,14825,,44.4,Innovation and FinTech Partnerships Vice President
8,Aspire HK,Hong Kong,"Designing & delivering interactive data visualisation using modern methods & systems. Discovering new paths for growth by uncovering new segments, products, and...",Hong Kong,3,,60.0,Asia Pacific Digital & Analytics Lead
9,Aspire HK,Hong Kong,"Business consultancy / Data scientist. 3 to 5 years of experience with Data modeling, data science,. They are looking for a Digital Solution Analytics Manager...",Hong Kong,3,,60.0,Digital Solution Analytics Manager
1,The Chinese University of Hong Kong 香港中文大學,Hong Kong,(b) providing support in data processing and analysis; Department of Ophthalmology and Visual Sciences....,Hong Kong,,,,Technician(s)
2,LF Logistics Management Limited,Hong Kong,"This is a data scientist position responsible for:. Data collection and analysis data, and development and maintenance of geographic information system (GIS)...",Hong Kong,,,,Assistant Manager - Supply Chain Analytics
3,Conners Recruitment,Hong Kong,Responsible for the implementation of big data analytics projects. Minimum of 5 years’ experience in data mining &/or machine learning;...,Hong Kong,,,,Senior Data Analyst / Data Scientist
5,Bright Hope Technology Limited,Hong Kong,Design/build a state-of-art data message system to accommodate different life cycle financial data which may be varied from month to nanosecond....,Hong Kong,,,,URGENT* Software Developer & Quantitative Analyst
6,BAH Partners,Hong Kong,"Have experience with Big Data, including data staging, curating, and cleaning data. Senior Quant Researcher / Scientist. Have experience with Big Data....",Hong Kong,,,,Quant Researchers / Data Scientists / Programmers (Data) – Derivatives Quant Research Hedge Fund – Hong Kong
7,WHub,Hong Kong,"Accelerate is looking for passionate individuals thrilled to unleash the next generation of data scientists, software engineers, and tech leaders....",Hong Kong,,,,Software engineer - Software Engineering Instructor
8,10Life,Hong Kong,"Experienced in data intensive system(optional). Provide user behavior insight from analytic data. Work with actuaries and data scientists to propose, implement...","Wan Chai, Hong Kong Island",,,,Software Engineer
9,BAH Partners,Hong Kong,"Have experience with Big Data, including data staging, curating, and cleaning data. He/she should be comfortable with working with Big Data as well as Real Time...",Hong Kong,,,,"C# Developer – Quantitative Research – Machine Learning – Artificial Intelligence – Big Data – Python, Hadoop, Spark, Java – Volatility Trading – Credit Trading – Algorithmic Trading – Hedge Fund"
0,Ethos BC Global,Hong Kong,Aptitude to understand highly technical information such as market research or epidemiological data with ability to articulate the information in a clear and...,Hong Kong,,,,"Medical Liaison, Taiwan"
2,BAH Partners,Hong Kong,Senior Data Scientist. Senior Domain Data Scientist. Multiple openings to work on Big Data projects for financial market at a leading quant research firm....,Hong Kong,,,,Weekly Role Summary - Financial Technology Roles (Week closes on 13 Oct 2017)
3,Oliver James Technology,Hong Kong,"Ideally as a ""full stack"" Data Scientist, you should understand that the life-cycle of data is more than just building models - it involves sourcing the data,...",Hong Kong,,"$50,000 - $70,000 a month",,Data Scientist - Global Top 200 Website
4,Terminal 1,Hong Kong,As a Data Scientist you will be responsible for analytics pipeline from data extraction and processing to model creation and result visualization....,Hong Kong,,"$20,000 - $40,000 a month",,Data Scientist
5,9GAG,Hong Kong,Collaborate with Web and Data Engineers to build and maintain robust and scalable data reporting and analytics infrastructure and models while proactively...,Hong Kong,,,,Data Scientist
6,Retviews,Hong Kong,We are looking for a Data Scientist taking part in the scalability and robustness of our big data solutions. Enjoy facing big data challenges....,Hong Kong,,,,Data Scientist
7,Aoling Investments,Hong Kong,A small proprietary trading firm based in HK specialised in high frequency trading and quantitative trading is looking for talents to expand its quantitative...,"Wong Tai Sin, Kowloon",,,,Junior Data Scientist - Quantitative Trading
8,Cluster Technology Ltd,Hong Kong,"Utilize user characteristics and behavior data, financial data to do data mining and model building analysis; Knowledge on data structure and algorithm;...",Hong Kong,,,,Data Scientist / Computational Scientist
9,維他奶,Hong Kong,Collaborate closely with business stakeholders to collect data requirements and needs Conduct exploratory data analysis to gain data insights to support...,"Tuen Mun, New Territories",,,,Data Scientist
0,Seekers Capital,Hong Kong,"Clear understanding of algorithms and data structures. Expert in both batch and stream processing, data stream mining, streaming algorithm....",Hong Kong Island,,,,Data Engineer - Python or Java Big Data Developer
1,DiagCor,Hong Kong,"Responsible for experimental design, implementation, and data analysis. Develop and launch commercial IVD products / molecular diagnostic tests....",Hong Kong,,,,Research Scientist
2,Asia Miles,Hong Kong," Develop flexible and robust data pipelines that extract data from myriad.  At least 6 years of industry experience developing software for big data, data....",Hong Kong,,,,Analytics Platforms and Infrastructure Engineer
3,Avalon Genomics (HK) Limited,Hong Kong,Assistant Research Scientist*. Personal data provided will be used for recruitment and related purposes only and strictly in accordance with the relevant...,"Sha Tin, New Territories",,,,Assistant Research Scientist
4,Avalon PolyTom (HK) Limited,Hong Kong,Personal data provided will be used for recruitment and related purposes only and strictly in accordance with the relevant Personal Data Policy for Employment....,"Sha Tin, New Territories",,,,Research Assistant or Associate Scientist
5,AGA Affinity Group Asia Limited,Hong Kong,"Develop and drive regional analytics data strategy, including data capture, data enhancement, data cleansing....",Hong Kong,,"$90,000 - $120,000 a month",,Regional Data Scientist Lead (Director Level)
6,Oliver James Technology,Hong Kong,Less experienced candidates will be considered for junior data scientist. Data science / analysis:. Training from world-class data scientists....,Hong Kong,,"$50,000 - $70,000 a month",,Senior Data Scientist - Artificial Intelligence
7,OneSky Inc. Limited,Hong Kong,"Able to operate the end to end data pipeline, script proficiently for data collection and data cleaning....",Hong Kong,,,,Engineer Positions
8,Terminal 1,Hong Kong,"Look at data and identify trends of bug root-causes. Our recruiters are highly skilled software engineers, product designers, data scientists, accountants, and...",Hong Kong,,,,QA Engineer
9,GLG,Hong Kong,"The Survey Team is responsible for survey writing, programming, editing, fielding, and data compilation across various industry verticals, population...",Hong Kong,,,,Survey Manager
0,Terminal 1,Hong Kong,"Our recruiters are highly skilled software engineers, product designers, data scientists, accountants, and lawyers with strong technical skills and a network in...",Hong Kong,,"$20,000 - $40,000 a month",,Backend Developer
1,Terminal 1,Hong Kong,"Our recruiters are highly skilled software engineers, product designers, data scientists, accountants, and lawyers with strong technical skills and a network in...",Hong Kong,,"$20,000 - $40,000 a month",,Frontend Developer
2,SagaDigits Limited,Hong Kong,"Implement and test data processing pipelines, and data mining / data science algorithms. Our team comprises of professional Big Data engineers, data analysts in...","Central and Western, Hong Kong Island",,,,Front-end Developer
3,Pathfinder,Hong Kong,"Experience with Artificial Intelligence or as a Data Scientist role is a must. Experience researching large data sets related to trading (tick/market data,...",Hong Kong,51,,44.4,AI Quant Specialist – Electronic Trading (Hong Kong)
4,Terminal 1,Hong Kong,"Our recruiters are highly skilled software engineers, product designers, data scientists, accountants, and lawyers with strong technical skills and a network in...",Hong Kong,,"$40,000 - $60,000 a month",,DevOps Engineer
