,company,country,description,location,review,salary,star,title
1,"PT United Tractors, Tbk",Indonesia,The person also need to have deep understanding of data lineage of data sources that will be use to be include in the prediction model....,Indonesia,,,,Data Scientist
5,Nielsen,Indonesia,Leading a team of Data Scientist :. 10 years Data Science or related experience. Lead the Data Science team that supports Nielsen's Indonesia business;...,Indonesia,,,,Data Science Leader
6,PT Xtremax Teknologi Indonesia,Indonesia,"At least 2 years experiences working with data science or analysis. Min Bachelor from Mathematics, Business Analytics, Statistics, Informatics, System...",Bandung,,,,Data Scientist
0,Atreus Global,Indonesia,"Data mining using state-of-the-art methods. Processing, cleansing, and verifying the integrity of data used for analysis....",Jakarta,,,,Data Scientist
1,HappyFresh,Indonesia,"Understanding of reporting systems and efficient data pipeline architecture. Using this data to help us understand ecosystems, user behaviour and long-term...",Jakarta,,,,Data Scientist
2,Traveloka,Indonesia,"As a Data scientist, you play a key role to solve complex problems and drive insights from our sea of data. Passion in big data....",Jakarta,4 ulasan,,51.0,Data Scientist
3,Traveloka,Indonesia,"As an Associate Data scientist, you play a key role to solve complex problems and drive insights from our sea of data....",Jakarta,4 ulasan,,51.0,Associate Data Scientist
4,Excellerate,Indonesia,"Experience in data mining and data analysis. Must have a passion for data. Experience in data extraction and processing, feature engineering and correlation...",Jakarta,,,,Data Scientist
5,Infomedia Nusantara,Indonesia,Pengolahan Big Data. Membuat solusi dari analisa big data. Lulusan S1 jurusan Statistik....,Jakarta,,,,Data Scientist
6,EY,Indonesia,"We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business...",Jakarta,3.881 ulasan,,51.0,Performance Improvement - Analytics / Data Science Consultant
8,Mitra Integrasi Informatika,Indonesia,SIDelBIApps - Data Scientist / KXEN Predictive Analytics. Become the team leader for Predictive Analytics (mainly using KXEN tools) in project or in presales...,Jakarta,,,,SIDelBIApps - Data Scientist / KXEN Predictive Analytics
9,Mitra Integrasi Informatika,Indonesia,"Data Scientist, DBA & Data warehouse - (170000E5). Experience in database and data integration. Loading from disparate data sets, Perform data migration and...",Jakarta,,,,"Data Scientist, DBA & Data warehouse"
0,Accenture,Indonesia,"As well as be exposed to the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise...",Jakarta,11.374 ulasan,,51.0,Data Scientist
1,EY,Indonesia,Performed data cleansing and data quality treatment using industry standard tools. We go beyond strategy and provide end to end implementation of real life data...,Jakarta,3.881 ulasan,,51.0,Performance Improvement - Analytics / Data Engineering Consultant
4,Monroe Consulting Group,Indonesia,Our client is seeking a junior level entry data scientist that have passion for data management and an interest in Ecommerce for the job of Data Scientist Job....,Jakarta,,,,"Data Scientist Job (Ecommerce), Jakarta, Indonesia"
5,PT Taralite (Taralite.com),Indonesia,"Perform ETL, data cleaning, and data crowdsourcing tasks in preparation for data analysis. Assist Data Scientist to create and deploy analytics tools....",Jakarta,,,,Data Scientist (Intern)
9,Michael Page,Indonesia,Seek out external data sources for relevant context and combine external data with existing data to improve our credit and risk models....,Jakarta,,,,Senior Data Science - Premier Digital Venture
0,BCA,Indonesia,Memiliki minat dalam data analytics / scientist. Memiliki pengalaman minimal 3-4 tahun sebagai Data Scientist atau serupa....,Jakarta,,,,Data Scientist
2,Alegrium,Indonesia,Define data variable for product performance analysis. Work closely with QA & developers to develop data. Have a formal degree in Statistical Studies....,Jakarta,,,,Data Scientist
4,PT Indodaya Alih Tama,Indonesia,"Pengalaman Min 2 th di bidang data scientist, Customer analytic, Solution Development, modelling. Background Statitiska, matematika, Computer Sience-...",Jakarta,,,,Lowongan Data Scientist
5,PT XL Axiata Tbk,Indonesia,"Supervised/ unsupervised learning, fundamentals of Data warehouse, Hadoop, BI and data visualization. 5+ years of experience with real data....",Jakarta,,,,Data Scientist (Talent Pool)
6,Indodaya Alih Tama,Indonesia,"Pengalaman Min 2 th di bidang data scientist, Customer analytic, Solution Development, modelling. Sehubungan dengan kebutuhan karyawan di Mdmedia, saat ini di...",Jakarta,,,,Customer analytic & Solution Development
