,company,country,description,location,review,salary,star,title
3,Hays,Malaysia,"You will need to have experience working with large data sets including statistical analyses, data visualisation, data mining, data cleansing/transformation and...",Malaysia,465,,42.6,Data Scientist
6,National Sports Institute of Malaysia (ISN),Malaysia,"Assist in the design, development and implementation of specific projects to improve the management of data. Assist in providing solutions to identified issues...",Kuala Lumpur,,,,Sports Data Management Analyst
8,Agensi Pekerjaan Symphony Search Sdn Bhd,Malaysia,"Knowledge in Cloud Computing, Big Data, Enterprise Service Bus (ESB), Enterprise Application Integration (EAI) are added advantage....",Bangsar,,,,Technical Integration Analyst
8,BASF Asia Pacific,Malaysia,Ensure all processed data are reviewed accordingly and perform 100% master data checking to ensure accurate data are reported....,Kuala Lumpur,2,,54.0,"Analyst, Master Data (Korean literate)"
9,Cognizant,Malaysia,"Excel (functions, pivots, data analysis). Data to identify the area of improvement for the resources. Specific training and identify/assess training needs....",Kuala Lumpur,36,,43.8,Quality Analyst/Trainer
7,Oracle,Malaysia,"Ability to collect, organize, and display data in spreadsheet format. Collect, input, verify, correct, and analyze data to measure key performance indicator...",Kuala Lumpur,3080,,44.4,Business Analyst 4-Ops
3,Honeywell,Malaysia,"Work closely with accounting service provider to prepare and submit monthly financial statements and forecasts including P&L, Balance sheet & ensure data...",Kuala Lumpur,4873,,44.4,Sr Financial Analyst
9,Robert Walters,Malaysia,"About the Business Analyst Role:. They will involve spending time at sponsor premises, Collecting and building data models....",Kuala Lumpur,33,,43.8,Business Analyst
3,Accenture,Malaysia,"Big data experience. Maintenance/creation of the dashboards (main source of reporting data). Create report material, such as templates, graphs and ensure the...",Kuala Lumpur,11379,,51.0,Reporting Analyst
3,Michael Page,Malaysia,"Plan & execute Change requests activities which includes analysis, configuration, testing, data migration, training and documentation....",Kuala Lumpur,157,,42.0,Business Analyst (SAP HCM)
5,Cargill,Malaysia,"Senior Business Analyst – Trading APAC. Familiarity with Business Analyst Body of Knowledge (BABOK). Business Analyst will work closely with business partners,...",Kuala Lumpur,1820,,43.8,Senior Business Analyst – Trading APAC
0,Expert Integrators - EXI,Malaysia,System Analyst II. Record to Report Analyst. SAP CRM ABAP Analyst (Contract). Knowledge of data warehousing and database concept....,Kuala Lumpur,,,,SAP Consultants (MM/SD/FICO/HANA/ARIBA) - new implementation
3,Expert Integrators - EXI,Malaysia,System Analyst II. Record to Report Analyst. SAP CRM ABAP Analyst (Contract). Knowledge of data warehousing and database concept....,Kuala Lumpur,,,,Project Engineer & Manager Civil Engineering / Infrastructure (2 roles)
1,Citi,Malaysia,"Primary Location: Malaysia,Wilayah Persekutuan,Kuala Lumpur Education: Bachelor's Degree Job Function: Operations Schedule: Full-time Shift: Day Job Employee...",Kuala Lumpur,11051,,44.4,MYS CTSM KL - AML M&I Data Intelligence Monitoring Analytics/Emerging Risk Senior Analyst
4,Expert Integrators - EXI,Malaysia,System Analyst II. Record to Report Analyst. SAP CRM ABAP Analyst (Contract). Knowledge of data warehousing and database concept....,Kuala Lumpur,,,,SAP MM/WM Specialist (Singapore)
1,Smart Trend Sdn Bhd,Malaysia,Design and execute A/B testing procedures to extract data from test runs. Ether intelligence from corporate executives and middle managers about needs and...,Kuala Lumpur,,"RM 2,000 - RM 3,000 a month",,Trainee Business Analyst
2,Sdrops Solutions Sdn Bhd,Malaysia,Passionate in understanding data. Assist in the design of data warehouses to ensure interoperability with reporting solutions....,Kuala Lumpur,,"RM 2,400 - RM 4,500 a month",,Business Intelligence Analyst
5,F&N Dairies,Malaysia,Secondary Supply Chain Analyst. Compile and report weekly and monthly performance data from all warehouse locations....,Kuala Lumpur,,,,Secondary Supply Chain Analyst
2,Bright Prospect,Malaysia,"Establishment of purchase orders, vendor master data managements and AP processes. Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma,...",Kuala Lumpur,5,,40.2,Procurement Analyst - Shared Service Center
0,Kerry,Malaysia,"Manage and develop a team of regulatory technologist, regulatory scientist and senior regulatory scientist to deliver efficient, accurate and timely regulatory...",Johor Bahru,127,,40.8,Regulatory Manager - Raw Materials
1,Dyson,Malaysia,"Use common signal acquisition, data analysis and simulation techniques to measure a design’s performance. Our Research& Science teams – scientists, mechanical...",Senai,101,,43.2,Mechatronics Engineer
2,Dyson,Malaysia,"Our Research & Science teams – scientists, mechanical engineers and specialists across each product category – are the experimenters and risk-takers behind...",Senai,101,,43.2,Engineering Manager - Engineering Analysis & Performance
